loading model=/home/sima/watch-perception/models/yolo26m-det-int8-b1.tar.gz
Model loaded: yolo26m-det-int8-b1 (package storage: NVMe, runtime package path: /media/nvme/simaai/coprocessing/models/proc_20295/pkg_13ee9c4f6d65ae16/yolo26m-det-int8-b1)
[WARN] Model preprocess planner produced 39 advisory messages; set Model::Options.verbose.level=Verbose or Model::Options.verbose.planner=true to inspect details.
[1/4] Initializing runtime...
[2/4] Preparing input stream...
[3/4] Building graph...
[4/4] Graph ready (234 ms)
frame=1 processed=1 detections=11 best=0.500 infer_ms=9.3
frame=2 processed=2 detections=11 best=0.500 infer_ms=9.6
frame=3 processed=3 detections=11 best=0.500 infer_ms=9.3
frame=4 processed=4 detections=11 best=0.500 infer_ms=8.7
frame=5 processed=5 detections=10 best=0.500 infer_ms=8.5
frame=6 processed=6 detections=12 best=0.500 infer_ms=8.5
frame=7 processed=7 detections=11 best=0.500 infer_ms=8.4
frame=8 processed=8 detections=12 best=0.500 infer_ms=8.4
frame=9 processed=9 detections=13 best=0.500 infer_ms=8.3
frame=10 processed=10 detections=12 best=0.500 infer_ms=8.6
frame=11 processed=11 detections=10 best=0.500 infer_ms=8.4
frame=12 processed=12 detections=10 best=0.500 infer_ms=8.2
frame=13 processed=13 detections=7 best=0.500 infer_ms=8.3
frame=14 processed=14 detections=9 best=0.500 infer_ms=10.2
frame=15 processed=15 detections=9 best=0.500 infer_ms=8.2
frame=16 processed=16 detections=10 best=0.500 infer_ms=8.2
frame=17 processed=17 detections=11 best=0.500 infer_ms=8.5
frame=18 processed=18 detections=10 best=0.500 infer_ms=9.8
frame=19 processed=19 detections=11 best=0.500 infer_ms=8.4
frame=20 processed=20 detections=10 best=0.500 infer_ms=8.3
frame=21 processed=21 detections=10 best=0.500 infer_ms=8.4
frame=22 processed=22 detections=12 best=0.500 infer_ms=8.5
frame=23 processed=23 detections=11 best=0.500 infer_ms=9.5
frame=24 processed=24 detections=10 best=0.500 infer_ms=8.2
frame=25 processed=25 detections=10 best=0.500 infer_ms=8.3
frame=26 processed=26 detections=10 best=0.500 infer_ms=8.4
frame=27 processed=27 detections=12 best=0.500 infer_ms=8.2
frame=28 processed=28 detections=10 best=0.500 infer_ms=8.2
frame=29 processed=29 detections=10 best=0.500 infer_ms=8.3
frame=30 processed=30 detections=11 best=0.500 infer_ms=8.5
frame=31 processed=31 detections=12 best=0.500 infer_ms=8.5
frame=32 processed=32 detections=11 best=0.500 infer_ms=8.6
frame=33 processed=33 detections=9 best=0.500 infer_ms=8.4
frame=34 processed=34 detections=10 best=0.500 infer_ms=9.3
frame=35 processed=35 detections=9 best=0.500 infer_ms=8.4
frame=36 processed=36 detections=10 best=0.500 infer_ms=8.3
frame=37 processed=37 detections=9 best=0.500 infer_ms=8.3
frame=38 processed=38 detections=10 best=0.500 infer_ms=8.4
frame=39 processed=39 detections=10 best=0.500 infer_ms=8.4
frame=40 processed=40 detections=10 best=0.500 infer_ms=8.3
frame=41 processed=41 detections=10 best=0.500 infer_ms=9.7
frame=42 processed=42 detections=9 best=0.500 infer_ms=8.3
frame=43 processed=43 detections=12 best=0.500 infer_ms=8.3
frame=44 processed=44 detections=12 best=0.500 infer_ms=8.2
frame=45 processed=45 detections=12 best=0.500 infer_ms=8.1
frame=46 processed=46 detections=11 best=0.500 infer_ms=11.3
frame=47 processed=47 detections=11 best=0.500 infer_ms=8.3
frame=48 processed=48 detections=11 best=0.500 infer_ms=8.6
frame=49 processed=49 detections=10 best=0.500 infer_ms=8.4
frame=50 processed=50 detections=10 best=0.500 infer_ms=9.8
frame=51 processed=51 detections=9 best=0.500 infer_ms=8.4
frame=52 processed=52 detections=9 best=0.500 infer_ms=8.3
frame=53 processed=53 detections=9 best=0.500 infer_ms=8.3
frame=54 processed=54 detections=9 best=0.500 infer_ms=8.4
frame=55 processed=55 detections=8 best=0.500 infer_ms=9.6
frame=56 processed=56 detections=8 best=0.500 infer_ms=8.3
frame=57 processed=57 detections=9 best=0.500 infer_ms=8.3
frame=58 processed=58 detections=8 best=0.500 infer_ms=8.4
frame=59 processed=59 detections=10 best=0.500 infer_ms=8.3
frame=60 processed=60 detections=8 best=0.500 infer_ms=8.3
frame=61 processed=61 detections=8 best=0.500 infer_ms=8.3
frame=62 processed=62 detections=10 best=0.500 infer_ms=10.5
frame=63 processed=63 detections=9 best=0.500 infer_ms=8.3
frame=64 processed=64 detections=10 best=0.500 infer_ms=8.7
frame=65 processed=65 detections=9 best=0.500 infer_ms=8.5
frame=66 processed=66 detections=10 best=0.500 infer_ms=8.6
frame=67 processed=67 detections=9 best=0.500 infer_ms=8.5
frame=68 processed=68 detections=7 best=0.500 infer_ms=8.3
frame=69 processed=69 detections=8 best=0.500 infer_ms=8.4
frame=70 processed=70 detections=9 best=0.500 infer_ms=8.5
frame=71 processed=71 detections=9 best=0.500 infer_ms=8.4
